sku,T_CHECK,H_COVER,Q,MOQ,LOT_SIZE,STARTING_STOCK_OVERRIDE
303-101722,1.0,2.0,0.5,0,1,0.0
303-101728,1.0,2.0,0.5,0,1,0.0
303-101743,1.0,2.0,0.5,0,1,0.0
303-102788,1.0,2.0,0.5,0,1,37.0
303-102789,1.0,2.0,0.5,0,1,24.0
303-102980,1.0,2.0,0.5,0,1,21.0
303-102981,1.0,2.0,0.5,0,1,11.0
303-102982,1.0,2.0,0.5,0,1,0.0
303-102983,1.0,2.0,0.5,0,1,0.0
303-102985,1.0,2.0,0.5,0,1,12.0
303-102986,1.0,2.0,0.5,0,1,9.0
303-102989,1.0,2.0,0.5,0,1,0.0
303-102990,1.0,2.0,0.5,0,1,51.0
303-102991,1.0,2.0,0.5,0,1,0.0
303-102992,1.0,2.0,0.5,0,1,413.0
303-102994,1.0,2.0,0.5,0,1,53.0
303-102995,1.0,2.0,0.5,0,1,22.0
303-102996,1.0,2.0,0.5,0,1,58.0
303-102998,1.0,2.0,0.5,0,1,91.0
303-102999,1.0,2.0,0.5,0,1,9.0
303-103000,1.0,2.0,0.5,0,1,85.0
303-103001,1.0,2.0,0.5,0,1,0.0
303-103002,1.0,2.0,0.5,0,1,147.0
303-103003,1.0,2.0,0.5,0,1,0.0
303-103009,1.0,2.0,0.5,0,1,0.0
303-103174,1.0,2.0,0.5,0,1,75.0
303-103175,1.0,2.0,0.5,0,1,254.0
303-103569,1.0,2.0,0.5,0,1,12.0
303-104024,1.0,2.0,0.5,0,1,12.0
303-104028,1.0,2.0,0.5,0,1,12.0
303-104034,1.0,2.0,0.5,0,1,477.0
303-104035,1.0,2.0,0.5,0,1,14.0
303-104038,1.0,2.0,0.5,0,1,22.0
303-104042,1.0,2.0,0.5,0,1,12.0
303-104054,1.0,2.0,0.5,0,1,2231.0
303-104056,1.0,2.0,0.5,0,1,12.0
303-104058,1.0,2.0,0.5,0,1,1.0
303-104062,1.0,2.0,0.5,0,1,4883.0
303-104063,1.0,2.0,0.5,0,1,2.0
303-104066,1.0,2.0,0.5,0,1,1784.0
303-104068,1.0,2.0,0.5,0,1,217.0
303-104070,1.0,2.0,0.5,0,1,2.0
303-104071,1.0,2.0,0.5,0,1,0.0
303-104074,1.0,2.0,0.5,0,1,97.0
303-104076,1.0,2.0,0.5,0,1,32.0
303-104077,1.0,2.0,0.5,0,1,3.0
303-104080,1.0,2.0,0.5,0,1,1113.0
303-104083,1.0,2.0,0.5,0,1,215.0
303-104084,1.0,2.0,0.5,0,1,0.0
303-104086,1.0,2.0,0.5,0,1,4.0
303-104087,1.0,2.0,0.5,0,1,29.0
303-104089,1.0,2.0,0.5,0,1,2155.0
303-104090,1.0,2.0,0.5,0,1,46.0
303-104091,1.0,2.0,0.5,0,1,33.0
303-104092,1.0,2.0,0.5,0,1,4.0
303-104094,1.0,2.0,0.5,0,1,0.0
303-104095,1.0,2.0,0.5,0,1,0.0
303-104097,1.0,2.0,0.5,0,1,72.0
303-104098,1.0,2.0,0.5,0,1,8.0
303-104100,1.0,2.0,0.5,0,1,48.0
303-104101,1.0,2.0,0.5,0,1,10.0
303-104103,1.0,2.0,0.5,0,1,35.0
303-104104,1.0,2.0,0.5,0,1,23.0
303-104112,1.0,2.0,0.5,0,1,0.0
303-104115,1.0,2.0,0.5,0,1,0.0
303-104118,1.0,2.0,0.5,0,1,138.0
303-104121,1.0,2.0,0.5,0,1,0.0
303-104125,1.0,2.0,0.5,0,1,14.0
303-104129,1.0,2.0,0.5,0,1,0.0
303-104134,1.0,2.0,0.5,0,1,12.0
303-104137,1.0,2.0,0.5,0,1,4.0
303-104138,1.0,2.0,0.5,0,1,7.0
303-104298,1.0,2.0,0.5,0,1,103.0
303-104299,1.0,2.0,0.5,0,1,47.0
303-104301,1.0,2.0,0.5,0,1,0.0
303-104361,1.0,2.0,0.5,0,1,0.0
303-104362,1.0,2.0,0.5,0,1,0.0
303-104392,1.0,2.0,0.5,0,1,0.0
303-105051,1.0,2.0,0.5,0,1,19.0
303-105503,1.0,2.0,0.5,0,1,20.0
303-105504,1.0,2.0,0.5,0,1,331.0
303-105505,1.0,2.0,0.5,0,1,128.0
303-105859,1.0,2.0,0.5,0,1,24.0
303-105872,1.0,2.0,0.5,0,1,0.0
303-105874,1.0,2.0,0.5,0,1,0.0
303-105879,1.0,2.0,0.5,0,1,0.0
303-105880,1.0,2.0,0.5,0,1,23.0
303-105884,1.0,2.0,0.5,0,1,24.0
303-105887,1.0,2.0,0.5,0,1,12.0
303-105891,1.0,2.0,0.5,0,1,12.0
303-105894,1.0,2.0,0.5,0,1,0.0
303-105895,1.0,2.0,0.5,0,1,7.0
303-105897,1.0,2.0,0.5,0,1,0.0
303-105898,1.0,2.0,0.5,0,1,3.0
303-105900,1.0,2.0,0.5,0,1,0.0
303-105901,1.0,2.0,0.5,0,1,0.0
303-105914,1.0,2.0,0.5,0,1,0.0
303-105920,1.0,2.0,0.5,0,1,0.0
303-105923,1.0,2.0,0.5,0,1,1.0
303-105924,1.0,2.0,0.5,0,1,0.0
303-105925,1.0,2.0,0.5,0,1,0.0
303-105926,1.0,2.0,0.5,0,1,0.0
303-105928,1.0,2.0,0.5,0,1,0.0
303-105929,1.0,2.0,0.5,0,1,0.0
303-105930,1.0,2.0,0.5,0,1,5.0
303-105931,1.0,2.0,0.5,0,1,0.0
303-105932,1.0,2.0,0.5,0,1,1.0
303-105935,1.0,2.0,0.5,0,1,36.0
303-105936,1.0,2.0,0.5,0,1,68.0
303-105938,1.0,2.0,0.5,0,1,0.0
303-105939,1.0,2.0,0.5,0,1,0.0
303-105940,1.0,2.0,0.5,0,1,0.0
303-105958,1.0,2.0,0.5,0,1,306.0
303-105960,1.0,2.0,0.5,0,1,14.0
303-106011,1.0,2.0,0.5,0,1,228.0
303-106012,1.0,2.0,0.5,0,1,0.0
303-106105,1.0,2.0,0.5,0,1,22.0
303-106354,1.0,2.0,0.5,0,1,9.0
303-106359,1.0,2.0,0.5,0,1,0.0
303-106397,1.0,2.0,0.5,0,1,104.0
303-106447,1.0,2.0,0.5,0,1,12.0
303-106453,1.0,2.0,0.5,0,1,41.0
303-106513,1.0,2.0,0.5,0,1,62.0
303-106831,1.0,2.0,0.5,0,1,0.0
303-107318,1.0,2.0,0.5,0,1,0.0
303-107319,1.0,2.0,0.5,0,1,4.0
303-107672,1.0,2.0,0.5,0,1,7441.0
303-107691,1.0,2.0,0.5,0,1,12.0
303-107693,1.0,2.0,0.5,0,1,129.0
303-107694,1.0,2.0,0.5,0,1,0.0
303-107716,1.0,2.0,0.5,0,1,50.0
303-107757,1.0,2.0,0.5,0,1,0.0
303-107798,1.0,2.0,0.5,0,1,0.0
303-108588,1.0,2.0,0.5,0,1,4.0
303-108661,1.0,2.0,0.5,0,1,97.0
303-108662,1.0,2.0,0.5,0,1,0.0
303-108697,1.0,2.0,0.5,0,1,265.0
303-108698,1.0,2.0,0.5,0,1,52.0
303-108711,1.0,2.0,0.5,0,1,70.0
303-108713,1.0,2.0,0.5,0,1,36.0
303-108859,1.0,2.0,0.5,0,1,0.0
303-108860,1.0,2.0,0.5,0,1,48.0
303-108879,1.0,2.0,0.5,0,1,38.0
303-109793,1.0,2.0,0.5,0,1,839.0
303-110442,1.0,2.0,0.5,0,1,12.0
303-110873,1.0,2.0,0.5,0,1,113.0
303-110878,1.0,2.0,0.5,0,1,12.0
303-110879,1.0,2.0,0.5,0,1,698.0
303-111033,1.0,2.0,0.5,0,1,0.0
303-111034,1.0,2.0,0.5,0,1,0.0
303-111383,1.0,2.0,0.5,0,1,36.0
303-111384,1.0,2.0,0.5,0,1,20.0
303-111385,1.0,2.0,0.5,0,1,47.0
303-111406,1.0,2.0,0.5,0,1,28.0
303-111408,1.0,2.0,0.5,0,1,35.0
303-111409,1.0,2.0,0.5,0,1,48.0
303-111451,1.0,2.0,0.5,0,1,114.0
303-111452,1.0,2.0,0.5,0,1,44.0
303-111648,1.0,2.0,0.5,0,1,256.0
303-111649,1.0,2.0,0.5,0,1,140.0
303-111650,1.0,2.0,0.5,0,1,207.0
303-111651,1.0,2.0,0.5,0,1,110.0
303-111658,1.0,2.0,0.5,0,1,3060.0
303-111659,1.0,2.0,0.5,0,1,23.0
303-111660,1.0,2.0,0.5,0,1,132.0
303-111762,1.0,2.0,0.5,0,1,17.0
303-111817,1.0,2.0,0.5,0,1,12.0
303-111824,1.0,2.0,0.5,0,1,36.0
303-111826,1.0,2.0,0.5,0,1,23.0
303-111829,1.0,2.0,0.5,0,1,12.0
303-111831,1.0,2.0,0.5,0,1,264.0
303-111833,1.0,2.0,0.5,0,1,48.0
303-111835,1.0,2.0,0.5,0,1,36.0
303-112652,1.0,2.0,0.5,0,1,180.0
303-112952,1.0,2.0,0.5,0,1,1.0
303-114072,1.0,2.0,0.5,0,1,24.0
303-114073,1.0,2.0,0.5,0,1,0.0
303-114074,1.0,2.0,0.5,0,1,625.0
303-114075,1.0,2.0,0.5,0,1,24.0
303-114076,1.0,2.0,0.5,0,1,216.0
303-114077,1.0,2.0,0.5,0,1,0.0
303-114078,1.0,2.0,0.5,0,1,64.0
303-205967,1.0,2.0,0.5,0,1,0.0
303-208849,1.0,2.0,0.5,0,1,1.0
303-208850,1.0,2.0,0.5,0,1,0.0
303-208851,1.0,2.0,0.5,0,1,6.0
303-208852,1.0,2.0,0.5,0,1,28.0
305-108587,1.0,2.0,0.5,0,1,0.0
405-300602,1.0,2.0,0.5,0,1,75.0
405-300603,1.0,2.0,0.5,0,1,145.0
405-300604,1.0,2.0,0.5,0,1,107.0
405-300605,1.0,2.0,0.5,0,1,29.0
405-300606,1.0,2.0,0.5,0,1,16.0
405-300609,1.0,2.0,0.5,0,1,9.0
405-300610,1.0,2.0,0.5,0,1,28.0
405-300616,1.0,2.0,0.5,0,1,41.0
405-300617,1.0,2.0,0.5,0,1,79.0
405-300618,1.0,2.0,0.5,0,1,89.0
405-300619,1.0,2.0,0.5,0,1,1701.0
405-300620,1.0,2.0,0.5,0,1,1265.0
405-300621,1.0,2.0,0.5,0,1,1686.0
405-300628,1.0,2.0,0.5,0,1,60.0
405-300630,1.0,2.0,0.5,0,1,14.0
405-300635,1.0,2.0,0.5,0,1,78.0
405-300636-1,1.0,2.0,0.5,0,1,147.0
405-300637,1.0,2.0,0.5,0,1,0.0
405-300637-1,1.0,2.0,0.5,0,1,34.0
405-300638,1.0,2.0,0.5,0,1,102.0
405-300641,1.0,2.0,0.5,0,1,6.0
405-300642,1.0,2.0,0.5,0,1,65.0
405-300643,1.0,2.0,0.5,0,1,37.0
405-300644,1.0,2.0,0.5,0,1,10.0
405-300670,1.0,2.0,0.5,0,1,129.0
405-300671,0.25,2.0,0.5,0,1,6.0
405-300672,1.0,2.0,0.5,0,1,242.0
405-300673,1.0,2.0,0.5,0,1,61.0
405-300674,1.0,2.0,0.5,0,1,24.0
405-300679,1.0,2.0,0.5,0,1,20.0
405-300680,1.0,2.0,0.5,0,1,21.0
405-300681,1.0,2.0,0.5,0,1,33.0
405-300689,1.0,2.0,0.5,0,1,16.0
405-300695,1.0,2.0,0.5,0,1,79.0
405-300696,1.0,2.0,0.5,0,1,462.0
405-300697,1.0,2.0,0.5,0,1,84.0
405-300698,1.0,2.0,0.5,0,1,419.0
405-300748,1.0,2.0,0.5,0,1,69.0
405-300753,1.0,2.0,0.5,0,1,0.0
405-300760,1.0,2.0,0.5,0,1,8.0
405-300766,1.0,2.0,0.5,0,1,8.0
405-300819,1.0,2.0,0.5,0,1,0.0
405-300823,1.0,2.0,0.5,0,1,0.0
405-300837,1.0,2.0,0.5,0,1,26.0
405-300860,1.0,2.0,0.5,0,1,22.0
405-300882,1.0,2.0,0.5,0,1,302.0
405-300883,1.0,2.0,0.5,0,1,18.0
405-300884,1.0,2.0,0.5,0,1,23.0
405-300887,1.0,2.0,0.5,0,1,23.0
405-300890,1.0,2.0,0.5,0,1,162.0
405-300912,1.0,2.0,0.5,0,1,47.0
405-300931,1.0,2.0,0.5,0,1,3.0
405-300932,1.0,2.0,0.5,0,1,25.0
405-300933,1.0,2.0,0.5,0,1,9.0
405-300934,1.0,2.0,0.5,0,1,137.0
405-300935,1.0,2.0,0.5,0,1,44.0
405-310530,1.0,2.0,0.5,0,1,3.0
405-310552,1.0,2.0,0.5,0,1,6.0
405-310553,1.0,2.0,0.5,0,1,3.0
405-310557,1.0,2.0,0.5,0,1,8.0
405-310564,1.0,2.0,0.5,0,1,12.0
405-310569,1.0,2.0,0.5,0,1,10.0
405-310579,1.0,2.0,0.5,0,1,4.0
405-310590,1.0,2.0,0.5,0,1,10.0
405-310591,1.0,2.0,0.5,0,1,37.0
405-310596,1.0,2.0,0.5,0,1,6.0
405-360101,1.0,2.0,0.5,0,1,6.0
405-360102,1.0,2.0,0.5,0,1,96.0
405-360103,1.0,2.0,0.5,0,1,14.0
405-360104,1.0,2.0,0.5,0,1,53.0
405-360106,1.0,2.0,0.5,0,1,0.0
405-360112,1.0,2.0,0.5,0,1,7.0
405-360114,1.0,2.0,0.5,0,1,24.0
405-360115,1.0,2.0,0.5,0,1,0.0
405-360118,1.0,2.0,0.5,0,1,9.0
405-360119,1.0,2.0,0.5,0,1,0.0
405-700510,1.0,2.0,0.5,0,1,2.0
405-700512,1.0,2.0,0.5,0,1,14.0
405-700513,1.0,2.0,0.5,0,1,72.0
405-700516,1.0,2.0,0.5,0,1,5.0
405-700517,1.0,2.0,0.5,0,1,43.0
405-700532,1.0,2.0,0.5,0,1,6.0
405-700537,1.0,2.0,0.5,0,1,8.0
405-700538,1.0,2.0,0.5,0,1,0.0
405-700547,1.0,2.0,0.5,0,1,4.0
405-700559,0.25,2.0,0.5,0,1,24.0
405-700565,1.0,2.0,0.5,0,1,91.0
405-700566,1.0,2.0,0.5,0,1,53.0
405-700601,1.0,2.0,0.5,0,1,27.0
405-700605,1.0,2.0,0.5,0,1,4.0
780-2AXTRAUV,0.25,2.0,0.5,0,1,460.0
780-ACL85AUV,1.0,2.0,0.5,0,1,10.0
780-ADCAUV,1.0,2.0,0.5,0,1,0.0
780-ADCNKAUV,0.25,2.0,0.5,0,1,2.0
780-ATC100AUV,1.0,2.0,0.5,0,1,0.0
780-ATC150AUV,1.0,2.0,0.5,0,1,7.0
780-AXTR,1.0,2.0,0.5,0,1,2.0
780-AXTRAUV,1.0,2.0,0.5,0,1,109.0
780-BD16AUV,1.0,2.0,0.5,0,1,49.0
780-BD210AUV,1.0,2.0,0.5,0,1,28.0
780-BD22AUV,1.0,2.0,0.5,0,1,0.0
780-BLA06IAUV,1.0,2.0,0.5,0,1,251.0
780-BLA06YELAUV,1.0,2.0,0.5,0,1,313.0
780-BLA10AUV,1.0,2.0,0.5,0,1,0.0
780-BLA10ICAUV,1.0,2.0,0.5,0,1,155.0
780-BLA14BYAUV,1.0,2.0,0.5,0,1,20.0
780-BLA14BYCAUV,1.0,2.0,0.5,0,1,28.0
780-BLA14IAUVN,1.0,2.0,0.5,0,1,0.0
780-BLA14ICAUV,1.0,2.0,0.5,0,1,85.0
780-CADKBLAUV,1.0,2.0,0.5,0,1,7.0
780-CAXTR140AUV,1.0,2.0,0.5,0,1,184.0
780-CAXTR170AUV,1.0,2.0,0.5,0,1,78.0
780-CBL120AUV10,1.0,2.0,0.5,0,1,236.0
780-CBL90AUV06,1.0,2.0,0.5,0,1,19.0
780-CHLP900AUV55,0.25,2.0,0.5,0,1,18.0
780-CHLP900AUV85,0.25,2.0,0.5,0,1,11.0
780-CHN120AUV25,1.0,2.0,0.5,0,1,2.0
780-CHXLOCK120L,1.0,2.0,0.5,0,1,215.0
780-CR2AUV,0.25,2.0,0.5,0,1,100.0
780-CXTRM140AUV,1.0,2.0,0.5,0,1,0.0
780-DK06BAUV,1.0,2.0,0.5,0,1,0.0
780-DK14BACW,1.0,2.0,0.5,0,1,0.0
780-DK14IAUVN,1.0,2.0,0.5,0,1,0.0
780-EVOLOCKAUV,1.0,2.0,0.5,0,1,6.0
780-K85100AUV,1.0,2.0,0.5,0,1,0.0
780-K85250AUV,1.0,2.0,0.5,0,1,0.0
780-K85310AUV,1.0,2.0,0.5,0,1,7.0
780-KBL120AUV10,1.0,2.0,0.5,0,1,73.0
780-KBL150AUV10,1.0,2.0,0.5,0,1,410.0
780-KBL200AUV10,1.0,2.0,0.5,0,1,563.0
780-LRCAUV,1.0,2.0,0.5,0,1,17.0
780-MBLA06AUV,0.25,2.0,0.5,0,1,57.0
780-MEGALOCKAUV,1.0,2.0,0.5,0,1,18.0
780-NBLOK120SRA,1.0,2.0,0.5,0,1,0.0
780-SE2VAUV,1.0,2.0,0.5,0,1,9.0
780-SPBDBAUV,0.25,2.0,0.5,0,1,16.0
780-SPC150AUV12,1.0,2.0,0.5,0,1,0.0
780-SPCM150AUV12,0.25,2.0,0.5,0,1,42.0
780-SPEK150AUV08,1.0,2.0,0.5,0,1,0.0
780-SPLK150AUV15,1.0,2.0,0.5,0,1,13.0
780-SPLK180AUV12,1.0,2.0,0.5,0,1,7.0
780-UA128245AUV,1.0,2.0,0.5,0,1,18.0
780-UA90210AUV,1.0,2.0,0.5,0,1,22.0
780-UFD120120STAUV,1.0,2.0,0.5,0,1,0.0
780-UFD120230STAUV,1.0,2.0,0.5,0,1,0.0
780-UFD120340STAUV,1.0,2.0,0.5,0,1,0.0
780-UTT245AUV,1.0,2.0,0.5,0,1,0.0
780-UTT320AUV,1.0,2.0,0.5,0,1,0.0
780-w1085100stauv,0.25,2.0,0.5,0,1,2.0
780-w1085310stauv,0.25,2.0,0.5,0,1,2.0
IHR-780-AFL110AUV,1.0,2.0,0.5,0,1,0.0
IHR-780-BLA10YBCAUV,1.0,2.0,0.5,0,1,0.0
IHR-780-CAC80AUV20,1.0,2.0,0.5,0,1,0.0
IHR-780-CAXTR100AUV,1.0,2.0,0.5,0,1,0.0
IHR-780-CAXTR120LAUV,1.0,2.0,0.5,0,1,0.0
IHR-780-CBL100AUV08,1.0,2.0,0.5,0,1,0.0
IHR-780-CC120AUV08,1.0,2.0,0.5,0,1,0.0
IHR-780-CXTRM120LAUV,1.0,2.0,0.5,0,1,0.0
IHR-780-DK10IAUV,1.0,2.0,0.5,0,1,0.0
IHR-780-DK10YAUV,1.0,2.0,0.5,0,1,0.0
IHR-780-DK14BCAUV,1.0,2.0,0.5,0,1,0.0
IHR-780-MXTR230AUV,1.0,2.0,0.5,0,1,0.0
IHR-780-RBL100AUV07,1.0,2.0,0.5,0,1,0.0
IHR-780-SPLK150AUV10,1.0,2.0,0.5,0,1,0.0
IHR-780-SPLK150AUV15,1.0,2.0,0.5,0,1,0.0
IHR-780-SPRB150AUV10,1.0,2.0,0.5,0,1,0.0
IHR-780-SPRB150AUV12,1.0,2.0,0.5,0,1,0.0
IHR-780-TOTEMAUV,0.25,2.0,0.5,0,1,0.0
IHR-780-URC180245AUV,1.0,2.0,0.5,0,1,0.0
IHR-780-W1085250STAUV,1.0,2.0,0.5,0,1,0.0
IHR-780-XTRB150AUV,1.0,2.0,0.5,0,1,0.0
IHR-780-XTRB250AUV,1.0,2.0,0.5,0,1,0.0
